"MCC","F1","AUC","TPR","TNR","PPV","NPV"
0.870571500132014,0.972972972972973,0.993421052631579,0.947368421052632,1,1,0.8
1,1,1,1,1,1,1
0.92334397846312,0.987012987012987,1,1,0.875,0.974358974358974,1
0.92334397846312,0.987012987012987,1,1,0.875,0.974358974358974,1
0.930320953232481,0.986666666666667,0.993421052631579,0.973684210526316,1,1,0.888888888888889
1,1,1,1,1,1,1
0.930320953232481,0.986666666666667,0.980263157894737,0.973684210526316,1,1,0.888888888888889
0.930320953232481,0.986666666666667,0.995065789473684,0.973684210526316,1,1,0.888888888888889
1,1,1,1,1,1,1
0.930320953232481,0.986666666666667,0.996710526315789,0.973684210526316,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.848684210526316,0.973684210526316,0.996710526315789,0.973684210526316,0.875,0.973684210526316,0.875
0.848684210526316,0.973684210526316,0.996710526315789,0.973684210526316,0.875,0.973684210526316,0.875
1,1,1,1,1,1,1
0.930320953232481,0.986666666666667,1,0.973684210526316,1,1,0.888888888888889
0.930320953232481,0.986666666666667,0.996710526315789,0.973684210526316,1,1,0.888888888888889
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.930320953232481,0.986666666666667,0.996710526315789,0.973684210526316,1,1,0.888888888888889
1,1,1,1,1,1,1
