"MCC","F1","AUC","TPR","TNR","PPV","NPV"
0.612372435695795,0.857142857142857,1,1,0.5,0.75,1
0.612372435695795,0.857142857142857,1,1,0.5,0.75,1
0.612372435695795,0.857142857142857,1,1,0.5,0.75,1
0.408248290463863,0.5,0.666666666666667,0.333333333333333,1,1,0.5
0.166666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.5
-0.408248290463863,0.571428571428572,0.583333333333333,0.666666666666667,0,0.5,0
0.166666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.5
0.612372435695795,0.857142857142857,0.833333333333333,1,0.5,0.75,1
0.612372435695795,0.857142857142857,0.916666666666667,1,0.5,0.75,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
0.166666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5
0.666666666666667,0.8,0.833333333333333,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
0.612372435695795,0.857142857142857,0.666666666666667,1,0.5,0.75,1
0.612372435695795,0.857142857142857,0.833333333333333,1,0.5,0.75,1
-0.408248290463863,0.571428571428572,0.5,0.666666666666667,0,0.5,0
1,1,1,1,1,1,1
0.166666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.5
0.612372435695795,0.857142857142857,1,1,0.5,0.75,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
-0.166666666666667,0.4,0.5,0.333333333333333,0.5,0.5,0.333333333333333
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
0.666666666666667,0.8,0.666666666666667,0.666666666666667,1,1,0.666666666666667
0.612372435695795,0.857142857142857,1,1,0.5,0.75,1
0.612372435695795,0.857142857142857,1,1,0.5,0.75,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
NA,NA,NA,NA,NA,NA,NA
0.166666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.666666666666667,0.5
-0.166666666666667,0.4,0.666666666666667,0.333333333333333,0.5,0.5,0.333333333333333
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0.612372435695795,0.857142857142857,0.833333333333333,1,0.5,0.75,1
1,1,1,1,1,1,1
0.612372435695795,0.857142857142857,1,1,0.5,0.75,1
-0.408248290463863,0.571428571428572,0.666666666666667,0.666666666666667,0,0.5,0
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
0.612372435695795,0.857142857142857,0.833333333333333,1,0.5,0.75,1
0.666666666666667,0.8,1,0.666666666666667,1,1,0.666666666666667
0.166666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,0.5
0.612372435695795,0.857142857142857,0.666666666666667,1,0.5,0.75,1
0.612372435695795,0.857142857142857,1,1,0.5,0.75,1
-0.612372435695795,NA,0.833333333333333,0,0.5,0,0.25
